,run,client,samples,noise,r2
1699,7,2,2682,0.0,0.6944015030985624
1700,7,2,3727,0.0,0.6971550966526456
1701,7,2,5179,0.0,0.6997346917500288
1702,7,2,7196,0.0,0.7019562849322258
1703,7,2,10000,0.0,0.7019562849322258
1704,7,c1_c3,100,0.0,0.5285205746225713
1705,7,c1_c3,200,0.0,0.5455343173209211
1706,7,c1_c3,238,0.0,0.5796390903494277
1707,7,c1_c3,293,0.0,0.5951219682565008
1708,7,c1_c3,368,0.0,0.6396493947970615
1709,7,c1_c3,472,0.0,0.618875034496093
1710,7,c1_c3,617,0.0,0.6454709542102335
1711,7,c1_c3,819,0.0,0.6667942456496372
1712,7,c1_c3,1100,0.0,0.6763867542356371
1713,7,c1_c3,1489,0.0,0.6869546427351839
1714,7,c1_c3,2030,0.0,0.6893701070080671
1715,7,c1_c3,2782,0.0,0.6964378174166599
1716,7,c1_c3,3827,0.0,0.710409105470069
1717,7,c1_c3,5279,0.0,0.7206739087239413
1718,7,c1_c3,7296,0.0,0.7247388842976987
1719,7,c1_c3,10100,0.0,0.7247388842976987
1720,7,c2_c3,1000,0.0,0.6275781981403985
1721,7,c2_c3,1100,0.0,0.6219289063486035
1722,7,c2_c3,1138,0.0,0.6278262942178007
1723,7,c2_c3,1193,0.0,0.6352746565580628
1724,7,c2_c3,1268,0.0,0.6376979050771863
1725,7,c2_c3,1372,0.0,0.6591962028584621
1726,7,c2_c3,1517,0.0,0.661670221378126
1727,7,c2_c3,1719,0.0,0.6583342436060091
1728,7,c2_c3,2000,0.0,0.6562820683512474
1729,7,c2_c3,2389,0.0,0.6553725895874438
1730,7,c2_c3,2930,0.0,0.6590270791678718
1731,7,c2_c3,3682,0.0,0.6564071954915882
1732,7,c2_c3,4727,0.0,0.6560286342509503
1733,7,c2_c3,6179,0.0,0.6578709560591138
1734,7,c2_c3,8196,0.0,0.663697660709464
1735,7,c2_c3,11000,0.0,0.663697660709464
1736,7,c1_c2,100,0.0,0.5285205746225713
1737,7,c1_c2,131,0.0,0.5364038151988458
1738,7,c1_c2,140,0.0,0.5486554472059917
1739,7,c1_c2,151,0.0,0.5764815273354232
1740,7,c1_c2,166,0.0,0.5610064928417646
1741,7,c1_c2,184,0.0,0.6081212389859197
1742,7,c1_c2,208,0.0,0.630723237099164
1743,7,c1_c2,238,0.0,0.6327380125160429
1744,7,c1_c2,277,0.0,0.6396854265200361
1745,7,c1_c2,327,0.0,0.6346219456573665
1746,7,c1_c2,391,0.0,0.6398832402058157
1747,7,c1_c2,472,0.0,0.6528559006791566
1748,7,c1_c2,577,0.0,0.6642330949489685
1749,7,c1_c2,710,0.0,0.6820562222508557
1750,7,c1_c2,881,0.0,0.6886129931367959
1751,7,c1_c2,1100,0.0,0.6886129931367959
1752,7,c1_c3,100,0.1,0.5285205746225713
1753,7,c1_c3,200,0.1,0.4882731852104344
1754,7,c1_c3,238,0.1,0.5051282165664726
1755,7,c1_c3,293,0.1,0.5433690917841514
1756,7,c1_c3,368,0.1,0.6183700638911944
1757,7,c1_c3,472,0.1,0.6065193026871647
1758,7,c1_c3,617,0.1,0.6351918736453571
1759,7,c1_c3,819,0.1,0.6317138150405373
1760,7,c1_c3,1100,0.1,0.6584301488036909
1761,7,c1_c3,1489,0.1,0.6664623446198306
1762,7,c1_c3,2030,0.1,0.6798984362659807
1763,7,c1_c3,2782,0.1,0.692321000342792
1764,7,c1_c3,3827,0.1,0.7002035693780619
1765,7,c1_c3,5279,0.1,0.704270523236076
1766,7,c1_c3,7296,0.1,0.7066252284239144
1767,7,c1_c3,10100,0.1,0.7066252284239144
1768,7,c2_c3,1000,0.1,0.6275781981403985
1769,7,c2_c3,1100,0.1,0.6227630242920934
1770,7,c2_c3,1138,0.1,0.6089821541016285
1771,7,c2_c3,1193,0.1,0.6151617984320236
1772,7,c2_c3,1268,0.1,0.6226904527080256
1773,7,c2_c3,1372,0.1,0.6406199720031818
1774,7,c2_c3,1517,0.1,0.6441784141638354
1775,7,c2_c3,1719,0.1,0.6379535114356123
1776,7,c2_c3,2000,0.1,0.6381206463441672
1777,7,c2_c3,2389,0.1,0.6461955656824498
1778,7,c2_c3,2930,0.1,0.6495383721889103
1779,7,c2_c3,3682,0.1,0.6496161815826016
1780,7,c2_c3,4727,0.1,0.6461401714769968
1781,7,c2_c3,6179,0.1,0.6507044757931395
1782,7,c2_c3,8196,0.1,0.6568053301887944
1783,7,c2_c3,11000,0.1,0.6568053301887944
1784,7,c1_c2,100,0.1,0.5285205746225713
1785,7,c1_c2,131,0.1,0.49664480838615066
1786,7,c1_c2,140,0.1,0.4984947128708995
1787,7,c1_c2,151,0.1,0.5336935798402673
1788,7,c1_c2,166,0.1,0.5119046506683098
1789,7,c1_c2,184,0.1,0.5395004058087212
1790,7,c1_c2,208,0.1,0.5953524718005638
1791,7,c1_c2,238,0.1,0.6049916566012704
1792,7,c1_c2,277,0.1,0.5956949999374085
1793,7,c1_c2,327,0.1,0.5985955356262145
1794,7,c1_c2,391,0.1,0.6089497954845096
1795,7,c1_c2,472,0.1,0.6221784684909928
1796,7,c1_c2,577,0.1,0.6398555929153242
1797,7,c1_c2,710,0.1,0.6536077219571599
1798,7,c1_c2,881,0.1,0.6524056470385423
1799,7,c1_c2,1100,0.1,0.6524056470385423
1800,7,c1_c3,100,0.2,0.5285205746225713
1801,7,c1_c3,200,0.2,0.5097498998941727
1802,7,c1_c3,238,0.2,0.5440264323836006
1803,7,c1_c3,293,0.2,0.573929314944333
1804,7,c1_c3,368,0.2,0.5859512290775968
1805,7,c1_c3,472,0.2,0.5426518662999948
1806,7,c1_c3,617,0.2,0.58646401959599
1807,7,c1_c3,819,0.2,0.6076842233969897
1808,7,c1_c3,1100,0.2,0.6197898576375218
1809,7,c1_c3,1489,0.2,0.6376441581839358
1810,7,c1_c3,2030,0.2,0.63277854488922
1811,7,c1_c3,2782,0.2,0.6365978084636843
1812,7,c1_c3,3827,0.2,0.6452959949189971
1813,7,c1_c3,5279,0.2,0.6578677007884322
